cnpj,razao_social,nome_fantasia,uf,municipio,cep,data_abertura,situacao
26576122000203,ESPACO CULINARIA COMERCIO E SERVICOS EIRELI,NESCAFE,CE,FORTALEZA,60.741-215,23/02/2017,ATIVA
19164899000610,J. A. DA CAMARA FERNANDEZ,PIZZA HUT,DF,BRASILIA,71.608-900,08/03/2016,ATIVA
5202077000168,JLM RESTAURANTE LTDA,,DF,BRASILIA,71.608-900,18/07/2002,ATIVA
5202077000672,JLM RESTAURANTE LTDA,DOMINO'S,DF,BRASILIA,71.608-900,23/08/2013,ATIVA
3138019000197,KANOA PIZZA LTDA,,CE,FORTALEZA,60.416-530,09/04/1999,ATIVA
23756432000122,MD COMERCIO VAREJISTA DE ALIMENTOS LTDA,BRASIL VEXADO,DF,BRASILIA,70.077-900,26/11/2015,ATIVA
19859870000572,MFT EMPREENDIMENTOS ALIMENTICIOS LTDA,,CE,FORTALEZA,60.741-900,28/10/2014,ATIVA
1609661000181,MONTEIRO & PRADO LTDA,O REI DA PICANHA,CE,FORTALEZA,60.160-110,01/01/1997,ATIVA
27221161000161,ONI SAT FRANQUEADORA LTDA,,DF,BRASILIA,71.615-560,03/03/2017,ATIVA
24544462000138,PIZZA PRONTA ALIMENTOS EIRELI,,PE,RECIFE,51.210-902,07/02/1990,ATIVA
1024777000159,PIZZARIA BOKAS EIRELI,,DF,BRASILIA,70.070-900,18/12/1984,ATIVA
20078336000346,QA2 RESTAURANTE E LANCHONETE LTDA,,DF,BRASILIA,71.608-900,04/03/2015,ATIVA
18795242000184,AEROMATE 1 LANCHES LTDA,AEROMATE,SP,GUARULHOS,07.190-100,30/08/2013,ATIVA
33469172000672,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC,LANCHONETE ESCOLA - ESPACO PLENARIO,DF,BRASILIA,70.160-900,17/03/2008,ATIVA
2139652000307,SEVEN - ADMINISTRACAO E PARTICIPACAO LTDA,,MS,CAMPO GRANDE,79.031-000,14/07/2006,ATIVA
23426245000180,VIEIRA & LIMA BAR E RESTAURANTE LTDA,SIRIGADO DA BARAO,CE,FORTALEZA,60.120-001,07/10/2015,ATIVA
1806823000252,NORTH STAR TAXI AEREO LTDA,,CE,FORTALEZA,60.422-721,10/02/1999,ATIVA
69357408000111,ARGOS COMERCIAL E SERVICOS DE LOCACAO LTDA,,CE,CAUCAIA,61.601-145,23/11/1992,ATIVA
12853917000118,COOPERATIVA DO SERVICO ESPECIAL DE TAXIS DO AEROPORTO,COOPSETA,PE,RECIFE,51.150-650,22/03/1988,ATIVA
5527589000102,EMPRESA BRASILIENSE DE ESTACIONAMENTOS LTDA,,DF,BRASILIA,70.316-000,17/02/2003,ATIVA
31708000100,SINDICATO DOS PERMISSIONARIOS DE TAXIS E MOTORISTAS AUXILIARES DO DISTRITO FEDERAL,SINPETAXI,DF,BRASILIA,70.338-080,17/09/1973,ATIVA
2575829000148,OCEANAIR LINHAS AEREAS S/A,AVIANCA,SP,SAO PAULO,04.627-006,04/06/1998,ATIVA
13345728000105,EMIDIO SOUTO PEREIRA,EMYSOUTO PAPELARIA E INFORMATICA,DF,BRASILIA,70.300-908,03/03/2011,ATIVA
,68481586404,,,,,,
7266260000152,MANOEL CASSIO DE SOUZA GUEDES,MCG PAPELARIA E INFORMATICA,DF,BRASILIA,71.735-093,08/03/2005,ATIVA
8202116000115,AUTO POSTO AEROPORTO LTDA,JK COMBUSTIVEIS,DF,BRASILIA,71.608-900,21/07/2006,ATIVA
24093908000155,SAO FRANCISCO COMERCIO DE DERIVADOS DE PETROLEO LTDA,POSTO SAO FRANCISCO,PE,PETROLINA,56.318-000,07/10/1988,ATIVA
22357140000154,BARROS & BOAVENTURA SOCIEDADE DE ADVOGADOS,BARROS & BOAVENTURA ADVOGADOS,PE,PETROLINA,56.302-300,23/04/2015,ATIVA
14508774000132,CESAR & MATOS LTDA,PRINTPEX,BA,JUAZEIRO,48.903-010,31/05/1978,ATIVA
9296295001484,AZUL LINHAS AEREAS BRASILEIRAS S.A.,AZUL LINHAS AEREAS,DF,BRASILIA,71.608-900,13/01/2009,ATIVA
5423963014252,OI MOVEL S.A. - EM RECUPERACAO JUDICIAL,OI,PE,RECIFE,50.050-365,31/10/2012,ATIVA
2558157000839,TELEFONICA BRASIL S.A.,,PE,RECIFE,51.011-051,31/07/2002,ATIVA
33000118000179,TELEMAR NORTE LESTE S/A. - EM RECUPERACAO JUDICIAL,OI,RJ,RIO DE JANEIRO,20.230-070,26/09/1966,ATIVA
4206050008246,TIM CELULAR S.A.,,PE,JABOATAO DOS GUARARAPES,54.410-240,29/09/2003,ATIVA
13506601000112,RESTAURANTE O TRAIRAO LTDA.,TRAIRA SEM ESPINHA,DF,BRASILIA,70.803-120,11/04/2011,ATIVA
33469172001644,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC,SENAC GASTRONOMIA - 10 ANDAR - ANEXO IV,DF,BRASILIA,70.160-900,13/04/2009,ATIVA
12522233000133,AJA LOCADORA DE VEICULOS E SERVICOS LTDA,AJA LOCADORA,PE,PETROLINA,56.320-700,10/09/2010,ATIVA
22626956000136,ARIANE IMOVEIS LTDA,,MG,BELO HORIZONTE,30.190-060,02/02/1987,ATIVA
6981180000116,CEMIG DISTRIBUICAO S.A,CEMIG D,MG,BELO HORIZONTE,30.190-131,15/09/2004,ATIVA
25433004000194,CENTRO OPERACIONAL DE DESENVOLVIMENTO E SANEAMENTO DE UBERABA -CODAU,CODAU,MG,UBERABA,38.061-000,05/12/1966,ATIVA
,71910190691,,,,,,
33014556003969,LOJAS AMERICANAS S.A.,LOJA 35,DF,BRASILIA,70.304-000,11/02/1972,ATIVA
8297810000163,RAMAIS TELEINFORMATICA COMERCIO EIRELI,,MG,BELO HORIZONTE,30.411-223,15/09/2006,ATIVA
5077513000114,SANTO AGOSTINHO LIVRARIA E PAPELARIA LTDA,,MG,BELO HORIZONTE,30.190-111,24/05/2002,ATIVA
1319851000164,SISNETTI INTEGRADORA DE SOLUCOES LTDA,SISNETTI,DF,BRASILIA,71.741-704,22/07/1996,ATIVA
14552512000175,AGORA AUTO POSTO LTDA,,MG,ARAUJOS,35.603-000,27/10/2011,ATIVA
14384555000199,APICE AUTO POSTO LTDA,,MG,EXTREMA,37.640-000,29/09/2011,ATIVA
20092486000142,AUTO POSTO DO DINO LTDA,,MG,MONTE BELO,37.115-000,16/04/2014,ATIVA
23314933000159,AUTO POSTO CARLITO'S LTDA,,MG,ITURAMA,38.280-000,24/06/1987,ATIVA
17191424000183,AUTO POSTO CIDADE INDUSTRIAL LTDA,,MG,CONTAGEM,32.210-050,21/11/2012,ATIVA
12751469000141,AUTO POSTO DARCAN LTDA.,,MG,UBERABA,38.022-200,22/10/2010,ATIVA
37063328000914,AUTO SHOPPING DERIVADOS DE PETROLEO LTDA,REDE AUTO SHOPPING,DF,BRASILIA,72.120-190,22/09/2000,ATIVA
4787155000170,AUTO POSTO JP DERIVADOS DE PETROLEO LTDA,AUTO POSTO J. P.,DF,BRASILIA,72.015-605,19/11/2001,ATIVA
4662373000189,AUTO POSTO OSCAR LTDA,,MG,UBERABA,38.020-000,13/09/2001,ATIVA
11210422000108,AUTO POSTO PERDIGUEIRO LTDA,AUTO POSTO PERDIGAO,MG,PERDIZES,38.170-000,09/10/2009,ATIVA
8892406000138,AUTO POSTO SILVA & OLIVEIRA LTDA,AUTO POSTO ALFA,MG,PASSOS,37.901-216,06/06/2007,ATIVA
12507247000188,AUTO POSTO TRANSAMERICA LTDA.,,MG,UBERABA,38.038-050,10/09/2010,ATIVA
17960090000165,AUTO POSTO TREVINHO LTDA,,MG,SABARA,34.710-138,18/04/2013,ATIVA
3068322000160,BELA VISTA PETRO LTDA,,MG,FRUTAL,38.200-000,29/03/1999,ATIVA
306597001926,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,DF,BRASILIA,70.336-000,03/01/2012,ATIVA
25759283000342,COLETO ALDA E FILHOS LTDA,,MG,UBERLANDIA,38.405-120,04/06/1982,ATIVA
21672183000161,COMERCIAL CLAROS MONTES LTDA,POSTO VIA DUPLA,MG,MONTES CLAROS,39.400-480,26/11/1985,ATIVA
6041725000104,COMERCIAL MARCESOP LTDA,POSTO PIT STOP,MG,BELO HORIZONTE,30.430-110,01/12/2003,ATIVA
3086069000178,COMERCIAL OLIVEIRA & BRANT LTDA,AUTO POSTO BOA VISTA,MG,BOCAIUVA,39.390-000,06/04/1999,ATIVA
4683237000175,COMERCIAL PEDRAS DE MARIA LTDA,,MG,PEDRAS DE MARIA DA CRUZ,39.492-000,25/09/2001,ATIVA
1388000226,DISTRIBUIDORA BRASILIA DE VEICULOS S/A,POSTO DISBRAVE,DF,BRASILIA,70.730-500,16/04/2002,ATIVA
22894796000106,H A C AUTO POSTO E SERVICOS LTDA,POSTO LITRO,,,,21/07/2015,BAIXADA
26281022000160,JOSE PUERTAS JIMENEZ & FILHOS LTDA,POSTO DO PEPE,MG,UBERABA,38.040-500,16/11/1989,ATIVA
2208438000195,KING EMPREENDIMENTOS COMERCIAIS LTDA,,MG,BELO HORIZONTE,30.530-000,17/09/1997,ATIVA
19046218001772,MACEDO & SOUZA LTDA,DECIO UBERLANDIA,MG,UBERLANDIA,38.416-000,15/03/2011,ATIVA
19543099000104,POSTO DOM PEDRO IGARATINGA LTDA,POSTO DOM PEDRO IGARATINGA,MG,IGARATINGA,35.695-000,18/05/1977,ATIVA
16599607000170,MINEIRAO POSTO DE SERVICOS LTDA,POSTO MINEIRAO,MG,BELO HORIZONTE,31.210-800,01/12/1972,ATIVA
7819858000121,P & L COMERCIO DE COMBUSTIVEIS LTDA,POSTO DO MERCADO,MG,MONTES CLAROS,39.400-612,03/02/2006,ATIVA
1744290000221,PARIS AUTO POSTO LTDA,POSTO SANTA BEATRIZ,MG,UBERABA,38.050-000,20/07/2005,ATIVA
4588291000131,PETROLEO MONTES CLAROS LTDA.,,MG,MONTES CLAROS,39.400-354,01/08/2001,ATIVA
6117079000111,POSTO 99 LTDA,POSTO 99,MG,CAETANOPOLIS,35.770-000,04/02/2004,ATIVA
17279670000191,POSTO AMAZONAS LTDA,POSTO AMAZONAS,MG,BELO HORIZONTE,30.480-000,23/08/1966,ATIVA
19983865000143,POSTO BH LTDA,POSTO JOAO PAULO II,MG,BELO HORIZONTE,30.120-010,27/03/1978,ATIVA
18007445000169,POSTO CAMOES LTDA,,MG,BELO HORIZONTE,31.710-400,26/04/2013,ATIVA
16937955000100,POSTO CAMPINHO LTDA,,MG,PARAOPEBA,35.774-000,20/09/1972,ATIVA
23145287000143,POSTO CAXUXA II LTDA,CAXUXA II,MG,UBERABA,38.017-305,24/08/1987,ATIVA
1930849000127,POSTO CAXUXA MGM LTDA,POSTO CAXUXA MGM,MG,UBERABA,38.038-050,17/06/1997,ATIVA
18159459000106,POSTO DA LAVOURA LTDA,,MG,MONTE CARMELO,38.500-000,05/12/1973,ATIVA
4196733000102,POSTO DIVINO PADRAO LTDA.,,MG,SETE LAGOAS,35.702-075,16/11/2000,ATIVA
20415295003602,REDE DOM PEDRO DE POSTOS LTDA.,POSTO DOM PEDRO DE CONTAGEM FERNAO DIAS,MG,CONTAGEM,32.280-680,22/06/2016,ATIVA
23975515000102,POSTO FENIX ESTORIL LTDA,POSTO FENIX,MG,BELO HORIZONTE,30.421-026,14/01/2016,ATIVA
17488693000106,POSTO ITAPOA LTDA,,MG,BELO HORIZONTE,30.410-000,06/02/1971,ATIVA
38619219000146,POSTO JUPITER LTDA,,MG,BELO HORIZONTE,30.720-230,12/06/1990,ATIVA
15696692000121,POSTO BORBOREMA LTDA,POSTO MESTRA FININHA,MG,MONTES CLAROS,39.403-222,12/06/2012,ATIVA
8401243000143,POSTO OCEANO LTDA,POSTO PICA PAU II,MG,BELO HORIZONTE,30.110-071,31/10/2006,ATIVA
1321096000403,POSTO PETROMAC LTDA,POSTO PETROMAC II,MG,PINTOPOLIS,39.317-000,12/03/2003,ATIVA
5020360000179,POSTO PIO XII LTDA.,,MG,BELO HORIZONTE,30.110-067,24/04/2002,ATIVA
4814024000135,AUTO POSTO RIBEIRO LTDA,POSTO RIBEIRO,DF,BRASILIA,72.020-000,14/11/2001,ATIVA
16631418000137,POSTO RIEGERT LTDA,POSTO ERWIN RIEGERT,MG,BELO HORIZONTE,30.170-122,29/03/1973,ATIVA
25442013000141,POSTO RIO BRANCO LIMITADA,POSTO SMART,MG,UBERABA,38.022-070,05/08/1968,ATIVA
19990159000129,POSTO RIO PINHEIRO LTDA,POSTO E RESTAURANTE TANGARA,MG,CURVELO,35.790-000,17/11/1967,ATIVA
8474773000111,POSTO RODRIGUES MACEDO LTDA,POSTO MINAS GERAIS,MG,CORREGO DANTA,38.990-000,30/11/2006,ATIVA
19848233000177,POSTO SANTA EDWIGES PETROLEO LTDA,POSTO CAXUXA,MG,LUZ,35.595-000,19/10/1984,ATIVA
385408000129,AUTO POSTO NUNES ROCHA LTDA,AUTO POSTO NUNES ROCHA,MG,CARBONITA,39.665-000,11/01/1995,ATIVA
18598809000122,AUTO POSTO SONHO VERDE LTDA,POSTO SONHO VERDE,GO,IPAMERI,75.780-000,25/07/2013,ATIVA
2024746000160,POSTO SUPER TIGRE LTDA,POSTO SUPER TIGRE,MG,VARGINHA,37.062-180,17/07/1997,ATIVA
18696690000120,POSTO TEX KAR LIMITADA,,MG,BELO HORIZONTE,30.150-010,17/12/1974,ATIVA
16941734000105,POSTO TRES PODERES LTDA,,MG,SETE LAGOAS,35.701-482,27/11/1972,ATIVA
6042596000179,POSTO VIA A LIBERDADE LTDA,POSTO VIA A LIBERDADE,MG,BELO HORIZONTE,30.170-010,04/12/2003,ATIVA
3446122000102,POSTO VIA AZUL LTDA,POSTO VIA AZUL,MG,UBERABA,38.020-160,07/10/1999,ATIVA
5462748000120,POSTO VILA NOSSA SENHORA DE FATIMA LTDA,POSTO VILA,MG,BELO HORIZONTE,30.710-020,11/12/2002,ATIVA
4157583000110,GERALDO PACHECO DE MELO,AUTO POSTO VITORIA REGIA,MG,SERRA DO SALITRE,38.760-000,20/11/2000,ATIVA
21981287000158,POSTOS URBANO FERRAZ LTDA,,MG,BELO HORIZONTE,30.170-000,25/04/1986,ATIVA
5814279000160,REAL D'AVILA COMERCIO DE COMBUSTIVEIS LTDA,POSTO REAL D'AVILA,MG,DIAMANTINA,39.100-000,06/08/2003,ATIVA
13569064000311,REDE HG COMBUSTIVEIS LTDA.,POSTO PERIQUITO,MG,ITAMBACURI,39.830-000,06/02/2013,ATIVA
13569064000907,REDE HG COMBUSTIVEIS LTDA.,POSTO TURMALINA 3,MG,MONTES CLAROS,39.403-000,06/02/2013,ATIVA
13569064000400,REDE HG COMBUSTIVEIS LTDA.,POSTO PLANALTO,MG,GOVERNADOR VALADARES,35.054-060,06/02/2013,ATIVA
17361190000175,RODOVIA COMERCIO DE COMBUSTIVEIS E DERIVADOS LTDA,POSTO JK,GO,CATALAO,75.709-155,03/01/2013,ATIVA
26617835000189,SANTA FE COMBUSTIVEIS LTDA.,AUTO POSTO MIGUELINHO,MG,ARAXA,38.183-970,28/11/2016,ATIVA
8575903000102,JR COMERCIO DE COMBUSTIVEIS E CONVENIENCIA LTDA,POSTO JR,MG,UBERLANDIA,38.400-702,09/01/2007,ATIVA
2196687000108,SAVASTANO E PORTO LTDA,AUTO POSTO VIA UNICA,MG,UBERLANDIA,38.401-730,16/10/1997,ATIVA
9468823000110,W-1 COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA,,MG,UBERABA,38.020-300,31/03/2008,ATIVA
7749756000187,ABELHA COMUNICACAO E MARKETING LTDA,,MG,BELO HORIZONTE,30.150-280,02/12/2005,ATIVA
5253967000107,DITCOM INTERNET LTDA,DITCOM,SP,SAO PAULO,03.649-000,22/08/2002,ATIVA
10863221000147,IMPRESS EDITORA E GRAFICA LTDA,,MG,BELO HORIZONTE,30.881-460,26/05/2009,ATIVA
6946804000164,PAQ SERVICOS DE CONSERTOS EM MAQUINAS LTDA,WORKPRINT,MG,BELO HORIZONTE,31.015-330,26/08/2004,ATIVA
5835916000185,ALGAR CELULAR S/A,ALGAR TELECOM,,,,26/08/2003,BAIXADA
71208516000174,ALGAR TELECOM S/A,ALGAR TELECOM,MG,UBERLANDIA,38.400-668,30/04/1993,ATIVA
2558157000910,TELEFONICA BRASIL S.A.,,MG,BELO HORIZONTE,30.140-170,24/07/2002,ATIVA
4206050007940,TIM CELULAR S.A.,,MG,BELO HORIZONTE,30.380-103,17/09/2003,ATIVA
72629140000134,HOTEL NACIONAL S/A,HOTEL NACIONAL,DF,BRASILIA,70.322-900,07/12/1994,ATIVA
22171083000114,OTTONI & CIA LTDA,,MG,MONTES CLAROS,39.404-166,01/04/2015,ATIVA
9550214000106,SERRANA COMERCIO DE ALIMENTOS LTDA,GALETERIA SERRANA,DF,BRASILIA,70.238-040,18/04/2008,ATIVA
33469172002292,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC,RESTAURANTE-ESCOLA SENAC NO SENADO FEDERAL,DF,BRASILIA,70.160-900,02/07/2013,ATIVA
3346671000954,TAIOBA SELF SERVICE LTDA,,,,,05/08/2010,BAIXADA
4356635000187,HAVANA PALACE HOTEL LTDA,,MG,UBERABA,38.020-500,16/03/2001,ATIVA
38755138000173,LESSA HOTEL LTDA,LESSA HOTEL,MG,MONTES CLAROS,39.400-053,09/08/1990,ATIVA
27151719000180,POUSADA VILA AMERICANA LTDA,POUSADA VILA AMERICANA,MG,DATAS,39.130-000,20/02/2017,ATIVA
25306697000154,ROBERTO DOMINGUES DA SILVA,SERRA PALACE HOTEL,MG,SERRA DO SALITRE,38.760-000,09/06/1988,ATIVA
3344655000175,VIVA MARIA EMPREENDIMENTOS HOTELEIRO LTDA,VIVA MARIA - HOTEL E RESTAURANTE,MG,JANUARIA,39.480-000,19/08/1999,ATIVA
16670085055308,LOCALIZA RENT A CAR SA,LOCALIZA,MG,MONTES CLAROS,39.404-214,21/02/2014,ATIVA
12842700000102,OMEGA LOCADORA DE VEICULOS LTDA,OMEGA LOCADORA DE VEICULOS,DF,BRASILIA,72.006-830,09/11/2010,ATIVA
15695357000109,ASSOCIACAO DOS TAXISTAS DO DISTRITO FEDERAL,ASTDF,DF,BRASILIA,70.610-635,03/04/2012,ATIVA
4276357000158,COOPERATIVA DE RADIO COMUNICACAO DE BELO HORIZONTE - COOPERBH-TAXI,,MG,BELO HORIZONTE,31.320-610,16/02/2000,ATIVA
521294000105,COOPERATIVA DOS CONDUTORES AUTONOMOS DE BRASILIA LTDA,COOBRAS,DF,BRASILIA,70.395-900,19/09/1978,ATIVA
38069159000135,COOPERATIVA DOS TAXISTAS AUTONOMOS DO DISTRITO FEDERAL LTDA - COOPERTAXI,COOPERTAXI,DF,BRASILIA,70.310-500,23/02/1994,ATIVA
35029156000180,COOPERTAXI COOPERATIVA DE CONDUTORES DE TAXI LTDA,COOPERTAXI CAPITAL TAXI LTDA,CE,FORTALEZA,60.860-125,23/03/1990,ATIVA
25298969000111,COOPERATIVA MISTA DE TRANSP DE PASSAG EM TAXI B H LTDA,COOPERTAXI,MG,BELO HORIZONTE,31.110-593,06/06/1988,ATIVA
16913599000194,"JE ADMINISTRACAO, PARTICIPACOES E SERVICOS LTDA",,DF,BRASILIA,70.722-540,24/09/2012,ATIVA
37990298000134,RADIO TAXI ALVORADA LTDA,RADIO TAXI ALVORADA,DF,BRASILIA,70.398-900,04/05/1993,ATIVA
31708000371,SINDICATO DOS PERMISSIONARIOS DE TAXIS E MOTORISTAS AUXILIARES DO DISTRITO FEDERAL,SINPETAXI,DF,BRASILIA,71.608-900,23/07/1991,ATIVA
7424109000103,SINDICATO DOS TAXISTAS DO DISTRITO FEDERAL- SINTAXI,SINTAXI,DF,BRASILIA,70.305-000,01/06/2005,ATIVA
12623662000105,COOPERATIVA UNIAO DOS TAXISTAS DO DISTRITO FEDERAL LTDA,UNITAXI DF,DF,BRASILIA,70.303-900,28/09/2010,ATIVA
16624611009873,EMPRESA GONTIJO DE TRANSPORTES LIMITADA,,MG,BELO HORIZONTE,31.310-260,17/02/1983,ATIVA
19350180004157,EXPRESSO UNIAO LTDA,EXPRESSO UNIAO LTDA,MG,PATROCINIO,38.740-000,14/02/1995,ATIVA
23452196000150,EXPRESSO UNIR LTDA,,MG,PEDRO LEOPOLDO,33.600-000,31/12/1965,ATIVA
64236631000197,TANIA MARA NUNES RODRIGUES,CAROLINA PLAZA HOTEL,MG,UBERABA,38.045-100,03/09/1990,ATIVA
20740779000199,TRANSPORTE FLUVIAL JRM LTDA,,MG,SAO FRANCISCO,39.300-000,30/07/2014,ATIVA
17257916000124,VIACAO PASSARO VERDE LTDA,,MG,BELO HORIZONTE,31.130-050,27/09/1966,ATIVA
62595000100,CONDOMINIO EDIFICIO PAULO FIGUEIREDO,,SE,ARACAJU,49.010-150,09/05/1994,ATIVA
32856825000107,JACARANDA IMOVEIS LTDA,,SE,ARACAJU,49.020-550,20/07/1992,ATIVA
13128780000100,MUNICIPIO DE ARACAJU,ARACAJU PREF GABINETE DO PREFEITO,SE,ARACAJU,49.010-040,26/12/1974,ATIVA
32864795001063,REDE DE POSTOS PRESIDENTE LTDA,REDE PRESIDENTE - FILIAL LARANJEIRAS,SE,ARACAJU,49.055-380,03/01/2014,ATIVA
28039729000190,ADELIA MORBECK - SOCIEDADE INDIVIDUAL DE ADVOCACIA,,DF,BRASILIA,70.390-055,21/06/2017,ATIVA
38006706000133,ART ETC COMUNICACAO & MARKETING LTDA,MAD2MIDIA,DF,BRASILIA,70.330-530,25/07/1993,ATIVA
8489457000113,"R & L LOCACOES, EMPREENDIMENTOS E SERVICOS - EIRELI",LOCAVE,SE,ARACAJU,49.037-050,04/12/2006,ATIVA
